  147.769,  150.376,  152.020,  153.805,  156.365,
  159.106,  162.843,  166.137,  169.163,  172.108,
  175.888,  179.100,  181.619,  183.824,  185.937,
  185.448,  187.094,  188.690,  190.380,  192.214,
  194.443,  196.578,  198.775,  201.033,  203.238,
  206.673,  208.985,  211.310,  213.578,  215.785,
  217.926,  219.990,  221.958,  223.799,  225.144,
  225.463,


 CHEMICAL POTENTIAL protons  :
  -19.993,  -26.025,  -29.857,  -33.311,  -37.855,
  -39.912,  -42.108,  -43.889,  -43.613,  -43.083,
  -44.829,  -48.042,  -50.243,  -52.520,  -54.141,
  -55.170,  -54.234,  -54.676,  -55.289,  -55.998,
  -56.405,  -57.077,  -58.810,  -61.147,  -62.989,
  -64.820,  -65.789,  -67.325,  -68.967,  -70.425,
  -70.698,  -71.052,  -71.967,  -73.117,  -74.290,
  -77.622,  -78.468,  -79.219,  -79.828,  -80.310,
  -80.898,  -81.755,  -82.605,  -83.428,  -84.325,
  -83.994,  -84.801,  -85.616,  -86.492,  -87.413,
  -88.347,  -89.253,  -90.089,  -90.862,  -91.925,
  -93.792,


 CHEMICAL POTENTIAL electrons :
   87.894,   90.398,   99.748,  106.993,  116.078,
  124.299,  131.024,  136.993,  142.610,  148.418,
  154.316,  160.092,  165.863,  171.668,  177.230,
  182.454,  187.453,  192.262,  196.787,  200.791,
  204.174,  207.453,  210.830,  214.952,  219.354,
  223.926,  228.632,  233.461,  238.130,  242.533,
  246.586,  250.152,  253.587,  256.942,  260.226,
  263.070,  265.562,  267.909,  270.209,  272.524,
  275.342,  278.333,  281.380,  284.461,  287.563,
  290.667,  293.786,  296.926,  300.071,  303.197,
  306.272,  309.243,  312.047,  314.662,  317.069,
  319.255,


 MUON ENERGY:
     .000,     .000,     .000,  106.477,  112.009,
  117.115,  121.353,  125.158,  128.771,  132.538,
  136.395,  140.199,  144.025,  147.898,  151.629,
  155.151,  158.536,  161.805,  164.893,  167.632,
  169.954,  172.209,  174.536,  177.383,  180.431,
  183.605,  186.880,  190.249,  193.513,  196.599,
  199.444,  201.951,  204.370,  206.736,  209.055,
  211.065,  212.828,  214.490,  216.120,  217.762,
  219.763,  221.888,  224.055,  226.249,  228.459,
  230.673,  232.900,  235.143,  237.392,  239.630,
  241.832,  243.962,  245.973,  247.850,  249.579,
  251.150,


 ELECTRON ENERGY:
    2.623,    2.201,    2.611,    2.880,    3.420,
    3.935,    4.318,    4.644,    4.958,    5.332,
    5.752,    6.187,    6.653,    7.158,    7.653,
    8.118,    8.569,    9.009,    9.417,    9.743,
    9.963,   10.177,   10.421,   10.827,   11.307,
   11.841,   12.425,   13.058,   13.678,   14.258,
   14.774,   15.187,   15.580,   15.965,   16.343,
   16.620,   16.816,   16.983,   17.145,   17.318,
   17.626,   17.986,   18.369,   18.770,   19.185,
   19.610,   20.048,   20.500,   20.963,   21.431,
   21.892,   22.333,   22.733,   23.085,   23.382,
   23.619,


 TOTAL ENERGY:
    4.799,    6.263,    7.025,    7.842,    8.606,
    9.431,   10.435,   11.531,   12.746,   14.074,
   15.423,   16.714,   18.014,   19.388,   20.830,
   22.380,   24.075,   25.909,   27.853,   29.951,
   32.212,   34.540,   36.881,   39.033,   41.126,
   43.194,   45.269,   47.378,   49.530,   51.751,
   54.089,   56.621,   59.233,   61.897,   64.599,
   67.339,   70.118,   72.925,   75.751,   78.591,
   81.347,   84.090,   86.847,   89.622,   92.424,
   95.308,   98.268,  101.260,  104.280,  107.329,
  110.406,  113.507,  116.621,  119.751,  122.893,
  126.068,

Symmetri energi:

       .0148      4.0618
       .0297      8.1235
       .0445     12.1853
       .0593     16.2471
       .0741     19.4378
       .0890     21.2742
       .1038     22.9028
       .1186     24.4681
       .1335     26.1659
       .1483     27.8466
       .1631     29.3612
       .1779     30.8169
       .1928     32.2911
       .2076     33.7977
       .2224     35.2760
       .2372     36.6551
       .2521     37.9525
       .2669     39.2190
       .2817     40.5017
       .2966     41.8372
       .3114     43.1704
       .3262     44.4901
       .3410     45.7429
       .3559     46.9462
       .3707     48.1411
       .3855     49.3428
       .4004     50.6012
       .4152     51.9340
       .4300     53.2884
       .4448     54.6551
       .4597     56.0250
       .4745     57.3795
       .4893     58.7175
       .5042     60.0361
       .5190     61.3293
       .5338     62.5909
       .5486     63.7715
       .5635     64.8800
       .5783     65.9604
       .5931     67.0222
       .6079     68.0750
       .6228     69.1285
       .6376     70.2558
       .6524     71.4100
       .6673     72.5724
       .6821     73.7397
       .6969     74.9085
       .7117     76.0752
       .7266     77.2372
       .7414     78.3910
       .7562     79.5322
       .7711     80.6571
       .7859     81.7620
       .8007     82.8432
       .8155     83.8972
       .8304     84.8622
       .8452     85.7536
       .8600     86.6226
       .8749     87.4772
       .8897     88.3254
       .9045     89.1753
       .9193     90.0347
       .9342     90.9140
       .9490     91.9060
       .9638     92.9246
       .9786     93.9690
       .9935     95.0387
      1.0083     96.1328
      1.0231     97.2507
      1.0380     98.3916
      1.0528     99.5549
      1.0676    100.7256
      1.0824    101.9149
      1.0973    103.1267
      1.1121    104.3618
      1.1269    105.6208
      1.1418    106.9045
      1.1566    108.2136
      1.1714    109.5488
      1.1862    110.9109
      1.2011    112.3386
      1.2159    113.7952
      1.2307    115.2761
      1.2456    116.7789
      1.2604    118.3017
      1.2752    119.8421
      1.2900    121.3982
      1.3049    122.9677
      1.3197    124.5485
      1.3345    126.1384
      1.3493    127.7354
      1.3642    129.3373
      1.3790    130.9418
      1.3938    132.5470
      1.4087    134.1506
      1.4235    135.7504
      1.4383    137.3445
      1.4531    138.9305
      1.4680    140.5064
      1.4828    142.0700
      1.4828    142.0700

Nijm I

 rho   n_p    u_n    u_p    u_e    ENUC    urcae   urcam   EDENS
 .075   .038  80.02  -5.51  85.53   4.49  83.20 168.73    .34
 .100   .030  64.82 -22.99  87.81   6.70 104.90 192.71    .68
 .125   .032  70.59 -26.21  96.79   7.48 108.37 205.16    .94
 .150   .034  72.85 -31.96 104.81   8.40 111.04 215.86   1.27
 .175   .039  76.45 -36.76 113.21   8.87 108.94 181.61   1.60
 .200   .043  84.59 -35.80 120.39   9.46 106.83 169.59   2.01
 .225   .047  89.54 -37.27 126.81  10.29 105.07 161.82   2.53
 .250   .050  93.55 -39.16 132.71  11.19 103.48 155.94   3.12
 .275   .053  98.91 -39.34 138.25  12.19 101.89 151.03   3.79
 .300   .057 104.45 -39.25 143.70  13.29  99.78 146.13   4.57
 .325   .060 108.17 -40.89 149.07  14.45  97.24 141.19   5.45
 .350   .063 110.41 -43.80 154.21  15.61  94.70 136.63   6.40
 .375   .067 113.79 -45.42 159.21  16.77  92.06 132.21   7.43
 .400   .070 117.41 -46.82 164.23  17.94  88.92 127.46   8.54
 .425   .074 121.25 -48.07 169.32  19.10  85.20 122.24   9.74
 .450   .078 125.18 -48.97 174.15  20.36  81.80 117.54  11.06
 .475   .081 130.60 -48.11 178.71  21.80  78.81 113.42  12.54
 .500   .083 134.57 -48.46 183.03  23.41  76.11 109.71  14.18
 .525   .086 138.10 -49.03 187.13  25.14  73.73 106.44  15.98
 .550   .088 140.47 -50.27 190.75  27.05  72.37 104.33  17.95
 .575   .089 143.07 -50.72 193.79  29.15  72.30 103.66  20.09
 .600   .089 145.58 -51.10 196.68  31.34  72.40 103.22  22.38
 .625   .090 147.91 -51.68 199.59  33.55  72.24 102.52  24.82
 .650   .092 150.39 -52.62 203.01  35.62  70.56 100.24  27.34
 .675   .094 153.02 -53.59 206.60  37.67  68.23  97.32  30.00
 .700   .096 155.68 -54.64 210.32  39.71  65.41  93.90  32.78
 .725   .099 158.52 -55.69 214.21  41.72  61.98  89.88  35.69
 .750   .102 161.30 -57.05 218.35  43.66  57.72  85.01  38.72
 .775   .105 164.03 -58.50 222.52  45.60  53.24  79.94  41.87
 .800   .108 166.70 -59.95 226.65  47.55  48.74  74.90  45.17
 .825   .111 170.10 -60.52 230.61  49.56  44.52  70.17  48.62
 .850   .114 172.94 -61.30 234.24  51.75  41.10  66.30  52.31
 .875   .116 175.14 -62.59 237.72  54.00  37.91  62.70  56.16
 .900   .118 177.03 -64.05 241.08  56.31  34.96  59.37  60.18
 .925   .120 178.85 -65.43 244.28  58.66  32.29  56.35  64.36
 .950   .121 177.80 -69.16 246.97  61.15  30.92  54.68  68.71
 .975   .122 179.22 -70.10 249.32  63.72  30.33  53.84  73.21
1.000   .122 180.68 -70.90 251.58  66.34  29.90  53.18  77.87
1.025   .123 182.36 -71.48 253.85  68.95  29.36  52.41  82.69
1.050   .124 184.36 -71.83 256.19  71.55  28.52  51.35  87.64
1.075   .125 187.35 -71.89 259.24  73.90  25.70  48.23  92.66
1.100   .128 189.66 -72.93 262.60  76.17  22.01  44.22  97.79
1.125   .131 191.99 -74.10 266.08  78.40  17.88  39.77 103.07
1.150   .133 194.32 -75.33 269.65  80.63  13.43  35.01 108.51
1.175   .136 196.55 -76.70 273.26  82.87   8.82  30.09 114.13
1.200   .139 199.85 -76.92 276.77  85.18   4.38  25.36 119.96
1.225   .141 201.99 -78.18 280.17  87.55    .16  20.86 125.99
1.250   .144 204.06 -79.43 283.49  89.95  -3.91  16.53 132.19
1.275   .146 205.99 -80.71 286.70  92.38  -7.74  12.45 138.54
1.300   .149 207.78 -81.99 289.77  94.85 -11.27   8.69 145.07
1.325   .151 209.44 -83.25 292.69  97.37 -14.46   5.30 151.78
1.350   .153 210.98 -84.49 295.46  99.98 -17.31   2.24 158.70
1.375   .154 212.41 -85.67 298.08 102.70 -19.79   -.42 165.87
1.400   .155 213.68 -86.83 300.51 105.54 -21.82  -2.62 173.30
1.425   .156 214.45 -88.28 302.73 108.51 -23.33  -4.28 181.01
1.450   .156 214.19 -90.53 304.72 111.67 -24.26  -5.34 189.05

 DENSITY:
     .075,     .100,     .125,     .150,     .175,
     .200,     .225,     .250,     .275,     .300,
     .325,     .350,     .375,     .400,     .425,
     .450,     .475,     .500,     .525,     .550,
     .575,     .600,     .625,     .650,     .675,
     .700,     .725,     .750,     .775,     .800,
     .825,     .850,     .875,     .900,     .925,
     .950,     .975,    1.000,    1.025,    1.050,
    1.075,    1.100,    1.125,    1.150,    1.175,
    1.200,    1.225,    1.250,    1.275,    1.300,
    1.325,    1.350,    1.375,    1.400,    1.425,
    1.450,


 n_p:
     .038,     .030,     .032,     .034,     .039,
     .043,     .047,     .050,     .053,     .057,
     .060,     .063,     .067,     .070,     .074,
     .078,     .081,     .083,     .086,     .088,
     .089,     .089,     .090,     .092,     .094,
     .096,     .099,     .102,     .105,     .108,
     .111,     .114,     .116,     .118,     .120,
     .121,     .122,     .122,     .123,     .124,
     .125,     .128,     .131,     .133,     .136,
     .139,     .141,     .144,     .146,     .149,
     .151,     .153,     .154,     .155,     .156,
     .156,


 CHEMICAL POTENTIAL neutrons :
   80.019,   64.818,   70.586,   72.851,   76.452,
   84.592,   89.541,   93.545,   98.910,  104.452,
  108.173,  110.410,  113.794,  117.410,  121.250,
  125.182,  130.600,  134.568,  138.103,  140.475,
  143.065,  145.579,  147.915,  150.389,  153.018,
  155.681,  158.515,  161.301,  164.027,  166.696,
  170.096,  172.939,  175.137,  177.026,  178.849,
  177.804,  179.221,  180.681,  182.363,  184.359,
  187.355,  189.664,  191.985,  194.321,  196.554,
  199.849,  201.990,  204.059,  205.990,  207.780,
  209.438,  210.979,  212.406,  213.681,  214.446,
  214.188,


 CHEMICAL POTENTIAL protons  :
   -5.512,  -22.989,  -26.207,  -31.962,  -36.756,
  -35.800,  -37.267,  -39.162,  -39.340,  -39.248,
  -40.892,  -43.802,  -45.417,  -46.820,  -48.073,
  -48.971,  -48.105,  -48.465,  -49.029,  -50.274,
  -50.723,  -51.101,  -51.678,  -52.622,  -53.585,
  -54.640,  -55.694,  -57.052,  -58.497,  -59.951,
  -60.518,  -61.297,  -62.585,  -64.050,  -65.435,
  -69.164,  -70.100,  -70.898,  -71.484,  -71.829,
  -71.890,  -72.932,  -74.096,  -75.333,  -76.704,
  -76.920,  -78.181,  -79.432,  -80.709,  -81.990,
  -83.252,  -84.486,  -85.674,  -86.830,  -88.284,
  -90.529,


 CHEMICAL POTENTIAL electrons :
   85.531,   87.807,   96.793,  104.813,  113.209,
  120.392,  126.808,  132.707,  138.250,  143.700,
  149.065,  154.212,  159.212,  164.230,  169.322,
  174.153,  178.705,  183.033,  187.131,  190.749,
  193.788,  196.680,  199.593,  203.011,  206.604,
  210.321,  214.209,  218.353,  222.524,  226.647,
  230.615,  234.235,  237.722,  241.077,  244.284,
  246.967,  249.321,  251.579,  253.846,  256.189,
  259.245,  262.596,  266.082,  269.654,  273.258,
  276.769,  280.171,  283.491,  286.699,  289.770,
  292.690,  295.465,  298.080,  300.511,  302.730,
  304.717,


 MUON ENERGY:
     .000,     .000,     .000,     .000,  110.249,
  114.678,  118.690,  122.422,  125.964,  129.476,
  132.960,  136.327,  139.618,  142.940,  146.330,
  149.562,  152.622,  155.542,  158.317,  160.775,
  162.845,  164.819,  166.812,  169.155,  171.624,
  174.185,  176.869,  179.737,  182.630,  185.497,
  188.262,  190.790,  193.228,  195.578,  197.827,
  199.712,  201.367,  202.956,  204.553,  206.205,
  208.362,  210.730,  213.196,  215.727,  218.283,
  220.777,  223.195,  225.558,  227.843,  230.033,
  232.117,  234.099,  235.969,  237.707,  239.296,
  240.718,


 ELECTRON ENERGY:
    2.352,    1.960,    2.315,    2.652,    3.094,
    3.463,    3.789,    4.090,    4.379,    4.686,
    5.008,    5.327,    5.649,    5.995,    6.376,
    6.739,    7.078,    7.400,    7.700,    7.935,
    8.086,    8.222,    8.371,    8.615,    8.899,
    9.215,    9.574,    9.992,   10.430,   10.874,
   11.302,   11.675,   12.032,   12.372,   12.691,
   12.910,   13.065,   13.206,   13.355,   13.525,
   13.852,   14.251,   14.689,   15.157,   15.643,
   16.120,   16.582,   17.034,   17.469,   17.879,
   18.259,   18.611,   18.928,   19.204,   19.430,
   19.602,


 TOTAL ENERGY:
    4.576,    6.754,    7.555,    8.491,    9.169,
   10.074,   11.237,   12.470,   13.797,   15.248,
   16.764,   18.278,   19.802,   21.349,   22.919,
   24.581,   26.398,   28.368,   30.446,   32.636,
   34.937,   37.303,   39.708,   42.067,   44.438,
   46.826,   49.226,   51.621,   54.029,   56.458,
   58.937,   61.537,   64.185,   66.868,   69.583,
   72.323,   75.089,   77.874,   80.671,   83.471,
   86.192,   88.896,   91.614,   94.358,   97.133,
   99.969,  102.851,  105.750,  108.662,  111.592,
  114.550,  117.557,  120.632,  123.786,  127.028,
  130.382,


Symmetri energi:
       .0148      3.9695
       .0297      7.9390
       .0445     11.9085
       .0593     15.8780
       .0741     18.9709
       .0890     20.6920
       .1038     22.1793
       .1186     23.6026
       .1335     25.1877
       .1483     26.7576
       .1631     28.1368
       .1779     29.4450
       .1928     30.7636
       .2076     32.1076
       .2224     33.4136
       .2372     34.6075
       .2521     35.7082
       .2669     36.7690
       .2817     37.8380
       .2966     38.9528
       .3114     40.0618
       .3262     41.1562
       .3410     42.1902
       .3559     43.1801
       .3707     44.1627
       .3855     45.1525
       .4004     46.1975
       .4152     47.3141
       .4300     48.4511
       .4448     49.5992
       .4597     50.7491
       .4745     51.8826
       .4893     52.9982
       .5042     54.0927
       .5190     55.1597
       .5338     56.1931
       .5486     57.1388
       .5635     58.0072
       .5783     58.8468
       .5931     59.6685
       .6079     60.4835
       .6228     61.3026
       .6376     62.2125
       .6524     63.1567
       .6673     64.1128
       .6821     65.0762
       .6969     66.0425
       .7117     67.0071
       .7266     67.9648
       .7414     68.9111
       .7562     69.8422
       .7711     70.7537
       .7859     71.6412
       .8007     72.5004
       .8155     73.3267
       .8304     74.0449
       .8452     74.6739
       .8600     75.2764
       .8749     75.8622
       .8897     76.4411
       .9045     77.0231
       .9193     77.6179
       .9342     78.2383
       .9490     79.0016
       .9638     79.7984
       .9786     80.6277
       .9935     81.4882
      1.0083     82.3788
      1.0231     83.2982
      1.0380     84.2454
      1.0528     85.2191
      1.0676     86.2499
      1.0824     87.3100
      1.0973     88.3881
      1.1121     89.4798
      1.1269     90.5807
      1.1418     91.6865
      1.1566     92.7929
      1.1714     93.8953
      1.1862     94.9895
      1.2011     95.9607
      1.2159     96.9131
      1.2307     97.8582
      1.2456     98.8002
      1.2604     99.7429
      1.2752    100.6902
      1.2900    101.6463
      1.3049    102.6150
      1.3197    103.6004
      1.3345    104.6063
      1.3493    105.6368
      1.3642    106.6957
      1.3790    107.7872
      1.3938    108.9151
      1.4087    110.0834
      1.4235    111.2961
      1.4383    112.5571
      1.4531    113.8705
      1.4680    115.2401
      1.4828    116.6700
      1.4828    116.6700


Nijm2


 rho   n_p    u_n    u_p    u_e    ENUC    urcae   urcam   EDENS
 .075   .031  70.67  -9.39  80.06   5.63  94.72 174.78    .43
 .100   .028  66.36 -19.44  85.80   7.16 109.11 194.91    .72
 .125   .029  72.25 -21.62  93.87   8.21 114.50 208.37   1.03
 .150   .031  75.05 -26.24 101.29   9.36 118.45 219.74   1.41
 .175   .035  79.45 -30.17 109.62  10.15 117.66 198.22   1.80
 .200   .038  88.59 -27.91 116.49  11.11 116.70 184.22   2.30
 .225   .041  93.42 -28.92 122.34  12.35 116.56 177.31   2.92
 .250   .044  96.84 -30.76 127.61  13.67 116.69 172.81   3.64
 .275   .046 101.99 -30.59 132.58  15.08 116.64 169.19   4.46
 .300   .049 107.53 -30.29 137.82  16.57 115.10 164.48   5.40
 .325   .052 111.47 -31.66 143.13  18.11 112.73 159.36   6.45
 .350   .054 114.11 -33.94 148.05  19.71 110.80 155.19   7.61
 .375   .057 117.64 -35.09 152.73  21.35 109.01 151.50   8.88
 .400   .060 121.32 -36.18 157.49  23.00 106.56 147.30  10.25
 .425   .063 125.25 -37.23 162.48  24.62 103.11 142.19  11.74
 .450   .066 129.22 -37.93 167.15  26.36 100.17 137.83  13.36
 .475   .069 134.74 -36.54 171.27  28.32  98.30 134.80  15.17
 .500   .071 138.47 -36.47 174.94  30.51  97.33 132.88  17.19
 .525   .072 141.62 -36.71 178.34  32.83  96.81 131.50  19.38
 .550   .073 143.22 -38.15 181.37  35.27  96.97 130.95  21.74
 .575   .074 145.27 -38.77 184.04  37.81  97.87 131.25  24.27
 .600   .074 147.31 -39.34 186.65  40.39  98.68 131.50  26.95
 .625   .075 149.14 -40.23 189.37  42.96  99.02 131.27  29.78
 .650   .077 151.23 -41.49 192.72  45.35  97.52 129.09  32.68
 .675   .079 153.65 -42.63 196.28  47.71  95.30 126.19  35.72
 .700   .081 156.16 -43.78 199.95  50.06  92.64 122.86  38.89
 .725   .084 159.60 -44.10 203.70  52.42  89.59 119.16  42.23
 .750   .086 162.48 -45.08 207.56  54.81  86.09 115.02  45.74
 .775   .089 164.98 -46.43 211.40  57.22  82.52 110.84  49.42
 .800   .091 167.25 -47.89 215.14  59.68  79.09 106.85  53.27
 .825   .093 169.45 -49.16 218.61  62.23  76.21 103.47  57.30
 .850   .094 171.21 -50.29 221.50  64.96  74.75 101.60  61.56
 .875   .095 172.56 -51.58 224.14  67.76  73.81 100.30  66.00
 .900   .096 173.61 -52.98 226.59  70.61  73.26  99.43  70.61
 .925   .097 174.61 -54.27 228.88  73.49  73.04  98.91  75.37
 .950   .097 172.72 -58.21 230.93  76.34  73.35  98.96  80.23
 .975   .097 173.53 -59.31 232.84  79.17  73.92  99.29  85.19
1.000   .097 174.49 -60.25 234.74  81.98  74.42  99.57  90.29
1.025   .098 175.79 -60.91 236.71  84.78  74.68  99.59  95.52
1.050   .098 177.57 -61.20 238.78  87.55  74.57  99.24 100.90
1.075   .099 180.90 -60.58 241.48  90.21  72.72  97.08 106.43
1.100   .101 182.95 -61.51 244.46  92.82  70.05  94.08 112.10
1.125   .103 184.95 -62.63 247.58  95.39  66.96  90.65 117.92
1.150   .105 186.88 -63.90 250.78  97.94  63.56  86.92 123.88
1.175   .107 188.74 -65.29 254.03 100.46  59.96  83.00 129.97
1.200   .109 190.54 -66.59 257.13 103.03  56.70  79.43 136.25
1.225   .111 192.18 -67.90 260.08 105.66  53.76  76.21 142.71
1.250   .113 193.75 -69.26 263.01 108.28  50.78  72.95 149.32
1.275   .115 195.25 -70.69 265.94 110.90  47.76  69.67 156.08
1.300   .117 196.68 -72.17 268.85 113.52  44.74  66.39 162.99
1.325   .119 198.04 -73.69 271.73 116.14  41.72  63.12 170.05
1.350   .120 199.31 -75.25 274.56 118.76  38.76  59.92 177.27
1.375   .122 200.50 -76.84 277.34 121.39  35.90  56.83 184.63
1.400   .124 201.58 -78.46 280.03 124.03  33.21  53.93 192.14
1.425   .125 202.20 -80.42 282.62 126.69  30.75  51.26 199.80
1.450   .127 201.90 -83.18 285.09 129.38  28.55  48.87 207.62

 DENSITY:
     .075,     .100,     .125,     .150,     .175,
     .200,     .225,     .250,     .275,     .300,
     .325,     .350,     .375,     .400,     .425,
     .450,     .475,     .500,     .525,     .550,
     .575,     .600,     .625,     .650,     .675,
     .700,     .725,     .750,     .775,     .800,
     .825,     .850,     .875,     .900,     .925,
     .950,     .975,    1.000,    1.025,    1.050,
    1.075,    1.100,    1.125,    1.150,    1.175,
    1.200,    1.225,    1.250,    1.275,    1.300,
    1.325,    1.350,    1.375,    1.400,    1.425,
    1.450,


 n_p:
     .031,     .028,     .029,     .031,     .035,
     .038,     .041,     .044,     .046,     .049,
     .052,     .054,     .057,     .060,     .063,
     .066,     .069,     .071,     .072,     .073,
     .074,     .074,     .075,     .077,     .079,
     .081,     .084,     .086,     .089,     .091,
     .093,     .094,     .095,     .096,     .097,
     .097,     .097,     .097,     .098,     .098,
